,timestamp,building_id,meter,month,weekday,hour,site_id,primaryspaceusage,sqm,lat,lng,timezone,airTemperature,dewTemperature,seaLvlPressure,windDirection,windSpeed,meter_reading
2852,2016-01-01 00:00:00,1518,1,1,4,0,15,3,5948.0,51.53,-0.13,1,3.8,2.4,1021.0,240.0,3.1,14.25
5905,2016-01-01 01:00:00,1518,1,1,4,1,15,3,5948.0,51.53,-0.13,1,3.7,2.4,1021.5,230.0,2.6,27.5
8958,2016-01-01 02:00:00,1518,1,1,4,2,15,3,5948.0,51.53,-0.13,1,2.6,1.9,1022.0,0.0,0.0,26.75
12011,2016-01-01 03:00:00,1518,1,1,4,3,15,3,5948.0,51.53,-0.13,1,2.0,1.2,1022.5,170.0,1.5,25.25
15064,2016-01-01 04:00:00,1518,1,1,4,4,15,3,5948.0,51.53,-0.13,1,2.3,1.8,1022.5,110.0,1.5,25.0
18117,2016-01-01 05:00:00,1518,1,1,4,5,15,3,5948.0,51.53,-0.13,1,2.4,2.0,1023.0,100.0,1.0,25.25
21170,2016-01-01 06:00:00,1518,1,1,4,6,15,3,5948.0,51.53,-0.13,1,2.3,1.8,1023.0,90.0,1.5,25.25
24223,2016-01-01 07:00:00,1518,1,1,4,7,15,3,5948.0,51.53,-0.13,1,2.6,1.9,1022.5,80.0,1.0,27.0
27276,2016-01-01 08:00:00,1518,1,1,4,8,15,3,5948.0,51.53,-0.13,1,2.2,1.5,1022.5,60.0,1.0,27.75
30329,2016-01-01 09:00:00,1518,1,1,4,9,15,3,5948.0,51.53,-0.13,1,2.2,1.2,1022.0,100.0,2.6,28.0
33382,2016-01-01 10:00:00,1518,1,1,4,10,15,3,5948.0,51.53,-0.13,1,4.0,1.8,1021.0,90.0,4.1,29.25
36435,2016-01-01 11:00:00,1518,1,1,4,11,15,3,5948.0,51.53,-0.13,1,5.4,1.9,1020.5,120.0,3.6,31.0
39488,2016-01-01 12:00:00,1518,1,1,4,12,15,3,5948.0,51.53,-0.13,1,7.0,4.4,1019.0,120.0,5.1,30.0
42541,2016-01-01 13:00:00,1518,1,1,4,13,15,3,5948.0,51.53,-0.13,1,7.2,4.4,1017.5,110.0,5.7,30.75
45594,2016-01-01 14:00:00,1518,1,1,4,14,15,3,5948.0,51.53,-0.13,1,7.4,4.5,1016.0,100.0,5.1,30.5
48647,2016-01-01 15:00:00,1518,1,1,4,15,15,3,5948.0,51.53,-0.13,1,7.5,5.6,1015.0,100.0,7.2,30.75
51700,2016-01-01 16:00:00,1518,1,1,4,16,15,3,5948.0,51.53,-0.13,1,7.6,6.7,1014.0,110.0,5.7,30.75
54753,2016-01-01 17:00:00,1518,1,1,4,17,15,3,5948.0,51.53,-0.13,1,8.0,7.1,1012.5,120.0,6.7,30.25
57806,2016-01-01 18:00:00,1518,1,1,4,18,15,3,5948.0,51.53,-0.13,1,8.1,6.5,1011.0,130.0,7.7,30.0
60859,2016-01-01 19:00:00,1518,1,1,4,19,15,3,5948.0,51.53,-0.13,1,8.1,6.3,1010.0,120.0,8.8,30.25
63912,2016-01-01 20:00:00,1518,1,1,4,20,15,3,5948.0,51.53,-0.13,1,8.2,6.2,1009.0,120.0,8.2,30.75
66965,2016-01-01 21:00:00,1518,1,1,4,21,15,3,5948.0,51.53,-0.13,1,8.5,6.1,1007.5,120.0,8.2,30.75
70018,2016-01-01 22:00:00,1518,1,1,4,22,15,3,5948.0,51.53,-0.13,1,8.3,6.5,1006.5,130.0,8.2,29.5
73071,2016-01-01 23:00:00,1518,1,1,4,23,15,3,5948.0,51.53,-0.13,1,7.9,7.0,1005.0,130.0,7.2,29.75
76124,2016-01-02 00:00:00,1518,1,1,5,0,15,3,5948.0,51.53,-0.13,1,8.1,7.4,1004.0,130.0,7.2,21.75
79177,2016-01-02 01:00:00,1518,1,1,5,1,15,3,5948.0,51.53,-0.13,1,8.2,7.7,1002.5,110.0,8.2,36.0
82230,2016-01-02 02:00:00,1518,1,1,5,2,15,3,5948.0,51.53,-0.13,1,8.5,8.1,1002.0,120.0,6.7,27.0
85283,2016-01-02 03:00:00,1518,1,1,5,3,15,3,5948.0,51.53,-0.13,1,9.1,8.2,1001.0,130.0,7.2,25.75
88336,2016-01-02 04:00:00,1518,1,1,5,4,15,3,5948.0,51.53,-0.13,1,9.3,8.3,1000.0,130.0,7.2,25.25
91389,2016-01-02 05:00:00,1518,1,1,5,5,15,3,5948.0,51.53,-0.13,1,9.6,8.4,999.0,130.0,8.2,25.5
94442,2016-01-02 06:00:00,1518,1,1,5,6,15,3,5948.0,51.53,-0.13,1,9.7,8.4,998.5,130.0,7.7,25.25
97495,2016-01-02 07:00:00,1518,1,1,5,7,15,3,5948.0,51.53,-0.13,1,9.4,8.8,998.0,130.0,8.2,26.0
100548,2016-01-02 08:00:00,1518,1,1,5,8,15,3,5948.0,51.53,-0.13,1,9.7,8.9,997.5,140.0,7.2,26.75
103601,2016-01-02 09:00:00,1518,1,1,5,9,15,3,5948.0,51.53,-0.13,1,9.9,9.1,997.5,140.0,7.2,26.0
106654,2016-01-02 10:00:00,1518,1,1,5,10,15,3,5948.0,51.53,-0.13,1,9.8,9.4,997.5,130.0,6.2,27.25
109707,2016-01-02 11:00:00,1518,1,1,5,11,15,3,5948.0,51.53,-0.13,1,9.9,9.6,996.5,130.0,7.2,44.5
112760,2016-01-02 12:00:00,1518,1,1,5,12,15,3,5948.0,51.53,-0.13,1,10.1,9.5,996.0,130.0,8.2,49.0
115813,2016-01-02 13:00:00,1518,1,1,5,13,15,3,5948.0,51.53,-0.13,1,10.0,9.6,995.0,130.0,7.7,46.5
118866,2016-01-02 14:00:00,1518,1,1,5,14,15,3,5948.0,51.53,-0.13,1,10.0,9.8,994.5,120.0,8.2,46.0
121919,2016-01-02 15:00:00,1518,1,1,5,15,15,3,5948.0,51.53,-0.13,1,10.2,10.2,994.5,140.0,5.7,45.75
124972,2016-01-02 16:00:00,1518,1,1,5,16,15,3,5948.0,51.53,-0.13,1,11.2,11.1,994.5,190.0,5.1,46.75
128025,2016-01-02 17:00:00,1518,1,1,5,17,15,3,5948.0,51.53,-0.13,1,10.9,10.5,995.5,210.0,6.7,47.25
131078,2016-01-02 18:00:00,1518,1,1,5,18,15,3,5948.0,51.53,-0.13,1,10.9,10.3,996.0,230.0,7.2,46.75
134131,2016-01-02 19:00:00,1518,1,1,5,19,15,3,5948.0,51.53,-0.13,1,10.4,9.7,997.0,260.0,8.2,29.25
137184,2016-01-02 20:00:00,1518,1,1,5,20,15,3,5948.0,51.53,-0.13,1,10.1,9.6,998.5,270.0,6.2,28.0
140237,2016-01-02 21:00:00,1518,1,1,5,21,15,3,5948.0,51.53,-0.13,1,9.9,9.6,999.0,260.0,8.8,27.5
143290,2016-01-02 22:00:00,1518,1,1,5,22,15,3,5948.0,51.53,-0.13,1,9.9,9.0,1000.0,260.0,7.2,27.5
146343,2016-01-02 23:00:00,1518,1,1,5,23,15,3,5948.0,51.53,-0.13,1,10.0,9.2,1000.5,250.0,6.2,28.25
149396,2016-01-03 00:00:00,1518,1,1,6,0,15,3,5948.0,51.53,-0.13,1,9.7,9.2,1001.0,240.0,6.7,27.5
152449,2016-01-03 01:00:00,1518,1,1,6,1,15,3,5948.0,51.53,-0.13,1,9.3,8.5,1001.5,250.0,9.3,27.5
155502,2016-01-03 02:00:00,1518,1,1,6,2,15,3,5948.0,51.53,-0.13,1,8.5,7.2,1002.0,250.0,7.7,26.75
